Prefetcher,Trace,IPC,Branch_MPKI,ROB_Occupancy,L1I_MPKI,L1D_MPKI,L2C_MPKI,LLC_MPKI,Duration_sec
btip,server_001,0.7876,8.97,94.74%,13.78,N/A,N/A,N/A,280
btip,server_025,1.188,16.55,90.95%,64.22,N/A,N/A,N/A,239
fdip,server_001,0.7876,8.97,94.74%,13.78,N/A,N/A,N/A,272
fdip,server_025,1.188,16.55,90.95%,64.22,N/A,N/A,N/A,238
no,server_001,0.7876,8.97,94.74%,13.78,N/A,N/A,N/A,279
no,server_025,1.188,16.55,90.95%,64.22,N/A,N/A,N/A,247
btip,spec_x264_001,2.415,3.697,93.95%,7.806,N/A,N/A,N/A,829
btip,spec_perlbench_001,1.099,10.85,94.54%,6.86,N/A,N/A,N/A,1454
fdip,spec_x264_001,2.415,3.697,93.95%,7.806,N/A,N/A,N/A,817
fdip,spec_perlbench_001,1.099,10.85,94.54%,6.86,N/A,N/A,N/A,1403
no,spec_x264_001,2.415,3.697,93.95%,7.806,N/A,N/A,N/A,803
no,spec_perlbench_001,1.099,10.85,94.54%,6.86,N/A,N/A,N/A,1423
